web-scraper-order,web-scraper-start-url,link,link-href,info,info-href,loupan,dizhi,leixing,jibie,jiejian,wuyefei,kongtiaoleixing,ketishu,huotishu,cheweiyuezujin,dishangcheweishu,wangluotongxun,dixiacheweishu,wuyegongsi,louneipeitao,companies,security,floors,year,zongmianji,biaozhuncengmianji,biaozhuncenggao,Dixiachewei,jinggao,kaifashang,datangcenggao,shewai,kezhuce,kaijianmianji,waiqiang,rent
"1529420271-2514","https://sh.xzl.anjuke.com/loupan/p26/","英雄大厦","/loupan/10245?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10245","英雄大厦","徐汇-万体馆-斜土路2669号","写字楼","丙级","英雄大厦是纯写字楼，毗邻徐家汇核心商圈，周边商务气氛浓郁，交通便捷紧邻地铁一，四号线,地处虹桥机场及浦东机场中间点，与上海南站仅距十分钟车程。房型布局合理，可以灵活分割满足各企业人性化的设计追求。","4元/平米•月","暂无","2部","1部","300元/月","20个","电信、联通、铁通、移动、卫通","26个","暂无","银行、ATM","企业名称：拓得机电设备安装有限公司，所属行业：专业服务/教育/培训、企业名称：上海敏诚善律师事务所，所属行业：专业服务/教育/培训、企业名称：上海春擎机电设备发展有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海乾年服饰有限公司，所属行业：贸易/消费/制造/营运、企业名称：锦益光电，所属行业：贸易/消费/制造/营运","银行、ATM","26层","1997年12月","28000m²","1000m²","3.2米","26个","2.5米","上海英雄集团","4米","否","是","暂无","玻璃幕墙","3.04元/m²•天"
"1529415331-1710","https://sh.xzl.anjuke.com/loupan/p53/","同济逸仙大厦","/loupan/11861?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11861","同济逸仙大厦","杨浦-五角场-逸仙路25号","写字楼","甲级","同济逸仙大厦外立面汲取水晶、蜂巢等结构特性，以国内罕有的钢结构晶状六边形外立面造型傲然出世，通过优雅、细腻的现代美学表现，成为新的城市风景地标，企业稳固之势不彰自显。
　　大厦局部层高4.6米、内部空间无柱网的设计，充分满足企业对空间个性化及功能多元化的追求，只需轻质隔断即可自由灵活的将整层办公空间进行划分，有效提升空间的使用率，稀缺平层办公空间尽显企业恢宏霸气。","22元/平米•月","集中式中央空调","5部","1部","1000元/月","45个","电信、联通、移动","389个","上海同科物业管理有限公司","银行、ATM、餐饮、便利店、商务中心、会议室","企业名称：上海鼎盛钢贸有限公司，所属行业：房地产/建筑","银行、ATM、餐饮、便利店、商务中心、会议室","18层","2011年12月","54000m²","1600m²","3.9米","389个","2.9米","上海同文置业有限公司","8米","否","是","70m²、100m²、200m²、250m²、300m²、500m²","玻璃幕墙","4.06元/m²•天"
"1529410764-972","https://sh.xzl.anjuke.com/loupan/p77/","虹桥都市工业大厦","/loupan/199640?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/199640","虹桥都市工业大厦","徐汇-徐家汇-中山西路1291号","写字楼","乙级","暂无数据","6元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","12层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","否","是","暂无","暂无","暂无数据"
"1529418637-2255","https://sh.xzl.anjuke.com/loupan/p35/","恒达广场","/loupan/10030?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10030","恒达广场","静安-静安寺-长寿路285号","商业综合体","乙级","恒达广场是由恒达大厦写字楼和恒达公寓组成的。大厦外墙为玻璃幕墙，层高3.54米，为开放式写字间。","20元/平米•月","集中式中央空调","3部","1部","300元/月","30个","电信","130个","上海恒达物业管理有限公司","银行、ATM、餐饮、商务中心、会议室、会展中心","企业名称：上海棉纺织印染联合有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海开天建设集团有限公司上海分公司，所属行业：房地产/建筑、企业名称：上海机械设备成套(集团)公司，所属行业：贸易/消费/制造/营运、企业名称：上海恒达科技发展有限股份有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海金铖科技发展有限公司，所属行业：计算机/互联网/通信/电子","银行、ATM、餐饮、商务中心、会议室、会展中心","24层","2002年12月","28000m²","1017m²","3.54米","130个","3.4米","上海恒达房地产开放有限公司","8米","是","是","120m²、130m²、170m²","玻璃幕墙","2.92元/m²•天"
"1529407480-347","https://sh.xzl.anjuke.com/loupan/p98/","原弓艺术仓库","/loupan/155044?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/155044","原弓艺术仓库","长宁-虹桥开发区-古北路555号","创意园区","乙级","原弓艺术创库坐落于仙霞路，近古北路。园区靠近内环延安西路高架，靠近天山路商圈，交通便利，又左邻工程技术大学和上海对外贸易学院，文化氛围浓郁，闹中取静。园内原为七八十年代的旧居民住在，现主要面向经营经典艺术和当代艺术为主，包括经营早期油画、水彩、素描、雕塑等当代艺术的画廊和艺术工作室。","8元/平米•月","分体空调","1部","暂无","600元/月","20个","电信、联通、移动","暂无","原弓投资管理有限公司","食堂、ATM、餐饮、便利店、会展中心","企业名称：上海恒润房地产经纪有限公司，所属行业：房地产/建筑、企业名称：信义房产，所属行业：房地产/建筑、企业名称：益勤地产，所属行业：房地产/建筑、企业名称：上海京雅酒吧有限公司，所属行业：专业服务/教育/培训、企业名称：上海星河俱乐部有限公司，所属行业：贸易/消费/制造/营运","食堂、ATM、餐饮、便利店、会展中心","5层","2007年3月","5200m²","700m²","4.5米","暂无","3.3米","原弓投资管理有限公司","5米","否","是","100m²、700m²","面砖","暂无数据"
"1529412534-1248","https://sh.xzl.anjuke.com/loupan/p68/","永新广场","/loupan/10394?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10394","永新广场","黄浦-南京东路-上海黄浦区南京西路128号","写字楼","甲级","永新广场位于南京西路128号，地处人民广场商务区，项目建成于1996年，总建筑面积29025平方米，建有22层甲级写字楼及两层地下停车场。优越的地理位置，完善的交通网络，使永新广场吸引了包括柯达、AIU及TexasInstruments等企业入驻。","35元/平米•月","集中式中央空调","8部","1部","1000元/月","暂无","电信、联通、移动","70个","暂无","银行、ATM、餐饮","企业名称：电通，所属行业：计算机/互联网/通信/电子、企业名称：柯达，所属行业：贸易/消费/制造/营运、企业名称：欧姆龙，所属行业：贸易/消费/制造/营运、企业名称：高露洁棕榈（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：巍珂-庆余户外广告公司，所属行业：广告/媒体、企业名称：美国美亚保险上海分公司，所属行业：会计/金融/银行/保险","银行、ATM、餐饮","22层","1996年5月","25000m²","1450m²","3.6米","70个","2.4米","上海永泰房地产开发有限公司","6米","是","是","暂无","暂无","6.08元/m²•天"
"1529421135-2705","https://sh.xzl.anjuke.com/loupan/p20/","中西大厦","/loupan/10920?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10920","中西大厦","长宁-中山公园-江苏路121号","写字楼","甲级","中西大厦位于江苏路武定西路口。紧靠地铁二号线江苏路站，沿长寿路可直往上海火车站。中西大厦顺延安路向东可直驰外滩陆家嘴，西赴上海虹桥机场只需数分钟车程。","15元/平米•月","半集中式中央空调","3部","暂无","800元/月","27个","电信、联通、长城、移动","100个","嘉育物业","银行、ATM、餐饮、便利店","企业名称：上海欧美嘉旅行社有限公司，所属行业：专业服务/教育/培训、企业名称：上海呈信航空票务代理有限公司，所属行业：专业服务/教育/培训、企业名称：晔欣国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海凯永信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：富山广告，所属行业：广告/媒体","银行、ATM、餐饮、便利店","20层","2013年3月","18000m²","800m²","3.6米","100个","2.6米","中锐集团","3米","否","是","88m²、152m²、159平米m²","玻璃幕墙","4.46元/m²•天"
"1529417994-2126","https://sh.xzl.anjuke.com/loupan/p39/","乐平方","/loupan/340402?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/340402","乐平方","静安-大宁绿地-灵石路721号","创意园区","甲级","暂无数据","15元/平米•月","半集中式中央空调","1部","1部","暂无","暂无","电信、移动","暂无","暂无","ATM","暂无","ATM","5层","2013年3月","16000m²","1200m²","3.1米","暂无","3米","上海锦和商业经营管理股份有限公司","4.5米","是","是","30-500m²","涂料","3.56元/m²•天"
"1529418946-2316","https://sh.xzl.anjuke.com/loupan/p33/","德必柏航创意园","/loupan/400656?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/400656","德必柏航创意园","虹口-曲阳-中山北一路1200号","写字楼","甲级","暂无数据","10.8元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海海尚海酒店管理有限公司","暂无","暂无","暂无","7层","2013年10月","暂无","暂无","暂无","暂无","暂无","上海德必文化创意产业发展（集团）有限公司","暂无","是","是","暂无","暂无","3.35元/m²•天"
"1529420206-2500","https://sh.xzl.anjuke.com/loupan/p26/","开开大厦","/loupan/11069?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11069","开开大厦","静安-曹家渡-万航渡路888号","写字楼","乙级","开开大厦位于万航渡路、长宁路。开开大厦的写字楼设有6台进口OTIS客梯，进口的约克中央热泵空调机组、消防自动报警系统和喷淋灭火系统。开开大厦备有二路高压进线供电，还备有应急柴油发电机组，供应急疏散照明、消防电梯和消防喷淋系统使用。","27元/平米•月","暂无","6部","1部","300元/月","暂无","电信","156个","上海安胜物业管理有限公司","银行、餐饮","企业名称：两岸咖啡，所属行业：贸易/消费/制造/营运、企业名称：上海蓝剑佳企信息技术服务有限公司，所属行业：计算机/互联网/通信/电子、企业名称：盈丰数码有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海博科资讯股份公司，所属行业：计算机/互联网/通信/电子、企业名称：新加坡动力科技上海代表处，所属行业：计算机/互联网/通信/电子","银行、餐饮","30层","1998年5月","暂无","1300m²","2.45米","156个","2.7米","开开房地产发展有限公司","4米","是","是","1300m²","玻璃幕墙","3.85元/m²•天"
"1529420164-2492","https://sh.xzl.anjuke.com/loupan/p27/","东方金融园","/loupan/28582?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/28582","东方金融园","浦东-上南地区-东方路2981号","创意园区","甲级","东方金融院聚焦金融服务和各类品质企业，落户企业享有浦东新区各类产业扶持优惠政策，营运商携手政府部门为落户企业代办工商、税务等注册登记手续，依托资源优势助企业尽享政策扶持。媲美“超甲级”写字楼，层高标准3.2米，消除空间压抑，特设楼层高6.3米，高楼层带来低成本，LOFT无限创意可能，60-1000平米度身定制，按需灵活调整房型，演绎便捷商务新空间铝合金中空镀膜大窗户设计。","18元/平米•月","分体空调","3部","1部","600元/月","66个","电信","200个","东方金融园物业管理","餐饮、便利店","企业名称：上海丰华（集团）股份有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海鼎盛港机有限公司，所属行业：贸易/消费/制造/营运、企业名称：创厨（上海）餐饮管理有限公司，所属行业：专业服务/教育/培训、企业名称：上海大龙千相广告有限公司，所属行业：广告/媒体、企业名称：魔亚动画设计（上海）有限公司，所属行业：广告/媒体","餐饮、便利店","6层","2011年3月","15000m²","2000m²","3.2米","200个","2.8米","香港柏佳创建控股有限公司","6米","是","是","60m²","大理石","3.85元/m²•天"
"1529420850-2640","https://sh.xzl.anjuke.com/loupan/p22/","创智天地广场三期","/loupan/100639?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/100639","创智天地广场三期","杨浦-五角场-淞沪路333号","写字楼","乙级","创智天地广场建成的智能化办公楼将汇集国内外高科技企业的研发中心、设计创意中心和服务中心。依创想、创业者的需求，制定全新的办公标准：甲级办公楼的配置、艺术化的建筑设计、独特的内庭休闲空间、浪漫的露天广场氛围、高速网络社区的新概念，汇聚思想的能量，打造21世纪智慧决胜的创想与创业的天堂。","25元/平米•月","集中式中央空调","3部","1部","800元/月","20个","电信、联通、移动","472个","暂无","餐饮、干洗店","暂无","餐饮、干洗店","6层","2010年1月","6817m²","3408.4m²","5米","472个","4米","上海杨浦中央社区发展有限公司","6米","是","是","80m²","暂无","5.07元/m²•天"
"1529420806-2631","https://sh.xzl.anjuke.com/loupan/p22/","海琪商务大厦","/loupan/383629?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383629","海琪商务大厦","闵行-七宝-中春路6818号","写字楼","甲级","暂无数据","6元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","2.23元/m²•天"
"1529422445-2974","https://sh.xzl.anjuke.com/loupan/p11/","白金湾广场","/loupan/10002?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10002","白金湾广场","虹口-北外滩-东大名路948、952号","写字楼","甲级","上海“黄金三角”承载着两个中心建设的重要商务职责，北外滩CBD更是国际航运中心建设的重要载体。在新经济时代，北外滩CBD即将经历船贷货运-总部经济-新金融模式的产业发展升级，北外滩成为上海金三角核心CBD的商务第三代升级版本。北外滩，第三代城市核心CBD闪耀浦江。　　白金湾坐处北外滩核心地利，以城市综合体前瞻规划，白金湾广场、超五星酒店悦榕庄、白金湾府邸、豪华游艇俱乐部、滩外奢侈品消费俱乐部，高端","28元/平米•月","集中式中央空调","6部","1部","1300元/月","暂无","电信、联通、长城、铁通、移动、卫通、有线通","174个","世邦魏理仕","银行、ATM、餐饮、便利店、商务中心、会议室","企业名称：香港先讯电器，所属行业：贸易/消费/制造/营运、企业名称：上海东安国际，所属行业：会计/金融/银行/保险、企业名称：荷兰金利集团，所属行业：贸易/消费/制造/营运、企业名称：法国艾比利时装，所属行业：贸易/消费/制造/营运、企业名称：日本利信行顾问，所属行业：专业服务/教育/培训","银行、ATM、餐饮、便利店、商务中心、会议室","20层","2011年02月","33856m²","1042m²","3.9米","174个","3.2米","上海莱因思置业有限公司","6.5米","是","是","174m²、360m²","玻璃幕墙","3.33元/m²•天"
"1529414688-1611","https://sh.xzl.anjuke.com/loupan/p56/","上企置业广场","/loupan/201084?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/201084","上企置业广场","徐汇-漕河泾-虹梅路1123号","写字楼","乙级","暂无数据","12元/平米•月","分体空调","1部","1部","400元/月","20个","电信、联通、长城、铁通、移动、卫通、有线通","暂无","上企投资集团","暂无","暂无","暂无","3层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","5.55米","否","是","暂无","暂无","3.85元/m²•天"
"1529420855-2641","https://sh.xzl.anjuke.com/loupan/p22/","曹杨尚城国际","/loupan/153938?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/153938","曹杨尚城国际","普陀-曹杨-曹杨路505号","写字楼","甲级","该案是甲级个性化办公楼，简装交房。处于纯熟的武宁板块，中山北路、长寿路、江苏路商务带交会处，静安寺、中山公园商业圈共同辐射。办公楼面积约在72—105平方米，5.05米挑空，买一层得两层，可灵活分割，利用率极高，同时，独立办公的规划令公摊成本大为降低，使企业投资成本缩水。弹性空间可满足企业成长需求、投资自用都非常适宜","8元/平米•月","分体空调","4部","1部","800元/月","568个","电信、有线通","186个","广州创佳物业","银行、ATM、餐饮、便利店、商务中心、会议室","企业名称：宝原地产，所属行业：房地产/建筑","银行、ATM、餐饮、便利店、商务中心、会议室","15层","2008年10月","46000m²","725m²","5.5米","186个","5米","肇庆市钰宏房地产有限公司","12米","是","是","72m²、88m²、105m²","玻璃幕墙","3.24元/m²•天"
"1529409612-756","https://sh.xzl.anjuke.com/loupan/p85/","中新传媒广场","/loupan/383200?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383200","中新传媒广场","浦东-金桥-金湘路与金港路交叉口","写字楼","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529418445-2218","https://sh.xzl.anjuke.com/loupan/p36/","禹洲广场","/loupan/355218?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/355218","禹洲广场","浦东-金桥-金港路299号","写字楼","甲级","暂无数据","23元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","23层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","4.06元/m²•天"
"1529407684-389","https://sh.xzl.anjuke.com/loupan/p97/","浦星路","/loupan/200420?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/200420","浦星路","闵行-浦江-浦星路568弄","道路","甲级","暂无数据","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","3层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529422816-3051","https://sh.xzl.anjuke.com/loupan/p8/","世宏金源中心","/loupan/382789?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/382789","世宏金源中心","闵行-莘庄-七莘路1111号","写字楼","甲级","暂无数据","22元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","3.55元/m²•天"
